0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000,10100,10200,10300,10400,10500,10600,10700,10800,10900,11000,11100,11200,11300,11400,11500,11600,11700,11800,11900,12000,12100,12200,12300,12400,12500,12600,12700,12800,12900,13000,13100,13200,13300,13400,13500,13600,13700,13800,13900,14000,14100,14200,14300,14400,14500,14600,14700,14800,14900,15000,15100,15200,15300,15400,15500,15600,15700,15800,15900,16000,16100,16200,16300,16400,16500,16600,16700,16800,16900,17000,17100,17200,17300,17400,17500,17600,17700,17800,17900,18000,18100,18200,18300,18400,18500,18600,18700,18800,18900,19000,19100,19200,19300,19400,19500,19600,19700,19800,19900,20000,20100,20200,20300,20400,20500,20600,20700,20800,20900,21000,21100,21200,21300,21400,21500,21600,21700,21800,21900,22000,22100,22200,22300,22400,22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23500,23600,23700,23800,23900,24000,24100,24200,24300,24400,24500,24600,24700,24800,24900,25000,25100,25200,25300,25400,25500,25600,25700,25800,25900,26000,26100,26200,26300,26400,26500,26600,26700,26800,26900,27000,27100,27200,27300,27400,27500,27600,27700,27800,27900,28000,28100,28200,28300,28400,28500,28600,28700,28800,28900,29000,29100,29200,29300,29400,29500,29600,29700,29800,29900,30000,30100,30200,30300,30400,30500,30600,30700,30800,30900,31000,31100,31200,31300,31400,31500,31600,31700,31800,31900,32000,32100,32200,32300,32400,32500,32600,32700,32800,32900,33000,33100,33200,33300,33400,33500,33600,33700,33800,33900,34000,34100,34200,34300,34400,34500,34600,34700,34800,34900,35000,35100,35200,35300,35400,35500,35600,35700,35800,35900,36000,36100,36200,36300,36400,36500,36600,36700,36800,36900,37000,37100,37200,37300,37400,37500,37600,37700,37800,37900,38000,38100,38200,38300,38400,38500,38600,38700,38800,38900,39000,39100,39200,39300,39400,39500,39600,39700,39800,39900,40000,40100,40200,40300,40400,40500,40600,40700,40800,40900,41000,41100,41200,41300,41400,41500,41600,41700,41800,41900,42000,42100,42200,42300,42400,42500,42600,42700,42800,42900,43000,43100,43200,43300,43400,43500,43600,43700,43800,43900,44000,44100,44200,44300,44400,44500,44600,44700,44800,44900,45000,45100,45200,45300,45400,45500,45600,45700,45800,45900,46000,46100,46200,46300,46400,46500,46600,46700,46800,46900,47000,47100,47200,47300,47400,47500,47600,47700,47800,47900,48000,48100,48200,48300,48400,48500,48600,48700,48800,48900,49000,49100,49200,49300,49400,49500,49600,49700,49800,49900,50000,50100,50200,50300,50400,50500,50600,50700,50800,50900,51000,51100,51200,51300,51400,51500,51600,51700,51800,51900,52000,52100,52200,52300,52400,52500,52600,52700,52800,52900,53000,53100,53200,53300,53400,53500,53600,53700,53800,53900,54000,54100,54200,54300,54400,54500,54600,54700,54800,54900,55000,55100,55200,55300,55400,55500,55600,55700,55800,55900,56000,56100,56200,56300,56400,56500,56600,56700,56800,56900,57000,57100,57200,57300,57400,57500,57600,57700,57800,57900,58000,58100,58200,58300,58400,58500,58600,58700,58800,58900,59000,59100,59200,59300,59400,59500,59600,59700,59800,59900,60000,60100,60200,60300,60400,60500,60600,60700,60800,60900,61000,61100,61200,61300,61400,61500,61600,61700,61800,61900,62000,62100,62200,62300,62400,62500,62600,62700,62800,62900,63000,63100,63200,63300,63400,63500,63600,63700,63800,63900,64000,64100,64200,64300,64400,64500,64600,64700,64800,64900,65000,65100,65200,65300,65400,65500,65600,65700,65800,65900,66000,66100,66200,66300,66400,66500,66600,66700,66800,66900,67000,67100,67200,67300,67400,67500,67600,67700,67800,67900,68000,68100,68200,68300,68400,68500,68600,68700,68800,68900,69000,69100,69200,69300,69400,69500,69600,69700,69800,69900,70000,70100,70200,70300,70400,70500,70600,70700,70800,70900,71000,71100,71200,71300,71400,71500,71600,71700,71800,71900,72000,72100,72200,72300,72400,72500,72600,72700,72800,72900,73000,73100,73200,73300,73400,73500,73600,73700,73800,73900,74000,74100,74200,74300,74400,74500,74600,74700,74800,74900,75000,75100,75200,75300,75400,75500,75600,75700,75800,75900,76000,76100,76200,76300,76400,76500,76600,76700,76800,76900,77000,77100,77200,77300,77400,77500,77600,77700,77800,77900,78000,78100,78200,78300,78400,78500,78600,78700,78800,78900,79000,79100,79200,79300,79400,79500,79600
-984,-755,-540,-330,-71,129,325,534,727,894,1053,1134,1278,1390,1499,1599,1664,1707,1821,1880,1938,1980,2014,2049,2139,2233,2257,2283,2353,2386,2419,2476,2532,2579,2610,2662,2686,2708,2752,2784,2827,2860,2841,2881,2892,2966,2981,3002,3066,3086,3115,3115,3102,3146,-957,-670,-397,-76,82,292,499,709,861,977,1039,1150,1342,1444,1523,1592,1647,1761,1819,1840,1911,2016,2068,2089,2096,2188,2222,2324,2363,2392,2405,2418,2458,2493,2495,2561,2564,2610,2641,2668,2694,2698,2721,2742,2748,2775,2783,2808,2807,2846,2833,2866,2877,2902,2957,2961,3000,3019,3034,3046,3034,-882,-670,-422,-112,122,303,486,650,806,944,1097,1207,1312,1404,1522,1641,1713,1794,1827,1932,1990,2016,2092,2137,2183,2225,2259,2316,2355,2382,2395,2427,2425,2477,2511,2561,2571,2627,2658,2645,2676,2737,2772,2785,2819,2848,2851,2877,2889,2908,2913,2950,2941,3005,3015,3025,3045,3084,-915,-617,-374,-20,130,366,516,687,827,1009,1160,1237,1313,1435,1484,1538,1649,1699,1765,1858,1901,1949,1983,2045,2118,2157,2181,2207,2242,2313,2339,2377,2402,2439,2485,2494,2567,2621,2642,2685,2729,2736,2761,2755,2762,2803,2819,2824,-781,-561,-307,-89,99,266,401,531,711,887,964,1066,1207,1306,1364,1478,1538,1580,1668,1708,1774,1831,1943,1992,2108,2133,2153,2192,2267,2312,2351,2369,2401,2462,2498,2523,2566,2586,2641,2680,2713,2714,2798,2802,2846,2867,2870,2901,2900,2941,2949,2978,3003,-1160,-881,-562,-286,-45,223,449,588,754,880,977,1098,1141,1291,1413,1530,1586,1633,1730,1815,1865,1923,1985,2031,2157,2217,2257,2316,2340,2420,2460,2516,2560,2605,2637,2645,2662,2712,2742,2747,2797,2784,2827,2863,2890,2902,2935,2943,2975,2985,3021,3017,3019,3062,3062,-725,-431,-195,20,217,383,519,664,804,936,1016,1156,1310,1392,1500,1582,1662,1732,1811,1878,1922,2010,2027,2094,2179,2250,2266,2312,2378,2446,2443,2494,2499,2537,2552,2623,2628,2636,2641,2677,2720,2733,2754,2801,2822,2883,2913,2960,2969,2997,2994,3043,3081,3077,3139,3136,3151,3170,3182,3224,3267,3276,3279,3270,3301,-876,-493,-282,-79,99,282,457,660,830,934,1038,1187,1283,1357,1416,1524,1651,1721,1767,1830,1903,1942,1983,2040,2069,2117,2163,2242,2320,2337,2390,2424,2494,2518,2563,2585,2634,2660,2693,2707,2783,2775,2802,2814,2833,2838,2899,2880,2923,2922,2973,2977,2998,3031,3043,3043,3082,3069,3117,3130,3147,3181,3192,3199,3187,3246,3255,3281,3289,3303,3307,3300,3303,3304,-758,-478,-206,-20,224,446,600,728,853,998,1157,1276,1406,1468,1539,1629,1715,1739,1870,1921,1997,2032,2080,2136,2181,2268,2271,2316,2373,2364,2412,2469,2510,2572,2625,2650,2656,2661,2689,2720,2742,2774,2776,2805,2833,2873,2895,2928,2932,2937,2974,2998,3026,3081,3058,3097,3117,3118,3118,3124,3147,3168,3158,3164,3199,3192,3207,3234,3231,3249,3273,3291,3299,3308,-1086,-855,-570,-232,130,369,548,649,771,870,988,1047,1127,1276,1379,1497,1562,1676,1719,1793,1862,1927,1999,2046,2120,2147,2205,2238,2262,2276,2289,2321,2383,2433,2499,2516,2520,2598,2640,2680,2705,2758,2779,2830,2841,2884,2915,2928,2942,2988,2995,3001,3030,3025,3024,3038,3065,3105,3125,3102,3152,3149,3179,3198,3233,3255,3265,3263,3271,-1104,-763,-553,-330,-130,137,357,530,779,869,960,1112,1270,1438,1486,1569,1672,1776,1869,1943,1985,2040,2125,2157,2255,2299,2340,2421,2438,2494,2527,2559,2585,2591,2630,2648,2690,2721,2781,2789,2842,2885,2878,2918,2938,2968,2986,3029,3029,3072,3104,-1015,-756,-548,-252,-75,116,334,532,749,823,942,1023,1136,1230,1316,1417,1490,1530,1591,1695,1723,1807,1861,1921,1986,2046,2134,2176,2223,2277,2293,2341,2389,2416,2457,2464,2508,2538,2567,2577,2623,2650,2663,2693,2699,2722,2748,2758,2754,2789,2812,2820,2826,2856,2895,2904,2931,2950,2975,3007,3046,3055,3067,3099,3101,3115,3143,3161,3150,3175,3203,3192,3232,3227,-893,-552,-273,14,209,356,468,624,709,913,1029,1091,1211,1320,1390,1441,1498,1641,1677,1741,1826,1869,1930,1988,2041,2068,2135,2176,2189,2233,2289,2402,2423,2422,2468,2505,2577,2584,2629,2659,2672,2672,2728,2727,2751,2755,2811,,,,,,,,,,,,,,
-1042,-751,-498,-325,-88,122,296,433,595,758,862,980,1105,1219,1334,1459,1519,1584,1685,1778,1870,1926,1930,2049,2117,2171,2211,2252,2304,2376,2424,2507,2575,2623,2619,2647,2662,2689,2718,2726,2779,2803,2834,2852,2882,2901,2924,2980,3000,3035,3054,3084,3109,3135,3156,-681,-412,-271,42,244,410,644,800,980,1133,1230,1335,1468,1541,1573,1710,1769,1871,1948,1990,2071,2116,2143,2176,2239,2289,2331,2400,2436,2486,2520,2543,2556,2607,2636,2660,2674,2711,2776,2826,2868,2896,2902,2928,2937,2988,2991,3001,3023,3015,3056,3058,3079,3119,3163,3141,3161,3188,3199,3218,3197,3210,3255,-930,-577,-297,-89,64,302,467,670,804,959,1137,1228,1313,1410,1462,1651,1735,1815,1869,1949,2033,2089,2152,2198,2242,2275,2349,2388,2459,2463,2491,2515,2568,2606,2636,2690,2684,2741,2730,2776,2782,2833,2849,2856,-883,-729,-425,-153,8,252,471,575,700,805,900,1030,1123,1212,1320,1407,1501,1543,1599,1684,1780,1815,1912,1972,2032,2077,2133,2165,2194,2263,2289,2343,2399,2453,2516,2572,2635,2623,2670,2693,2697,2736,2748,2783,2789,2804,2814,-880,-599,-247,-79,181,357,505,632,826,874,996,1090,1192,1296,1381,1475,1506,1546,1618,1685,1773,1863,1958,2050,2098,2148,2170,2224,2274,2319,2355,2419,2449,2511,2526,2538,2560,2597,2607,2612,2666,2698,2731,2757,2753,2771,2799,2820,2847,2874,2877,2896,2917,2924,2936,2966,2964,2983,3009,3009,3044,3042,-1202,-870,-507,-361,-65,184,361,599,764,862,987,1100,1244,1310,1477,1543,1665,1697,1824,1878,1949,2000,2051,2087,2118,2168,2275,2285,2346,2369,2416,2450,2554,2614,2650,2703,2703,-610,-363,-109,137,368,548,669,834,977,1077,1206,1306,1413,1513,1614,1704,1806,1897,1962,2033,2049,2101,2154,2211,2277,2301,2329,2354,2406,2422,2476,2535,2556,2559,2592,2663,2711,2772,2792,2810,2836,2849,2864,2910,2940,2972,2978,2972,2992,3007,3028,3070,3054,3076,3085,3097,3117,3184,3196,-950,-674,-468,-230,-47,130,280,454,666,798,910,1039,1148,1163,1213,1275,1372,1458,1568,1619,1689,1777,1842,1924,1990,2023,2098,2158,2194,2233,2306,2369,2418,2447,2532,2567,2595,2612,2648,2670,2676,2679,2729,2767,2760,2777,2800,2826,2815,2852,2865,-1120,-824,-534,-293,-44,165,334,495,632,843,998,1123,1217,1337,1389,1492,1547,1677,1740,1838,1875,1931,1979,2007,2047,2111,2193,2212,2299,2398,2452,2473,2538,2564,2610,2623,2660,2684,2715,2749,2753,2769,2798,2817,2821,2844,2875,2903,2920,2932,2950,2952,2979,3006,3007,2994,3043,3059,3053,3119,3134,3164,3158,3163,3195,3221,3225,3240,3240,3254,3249,3271,3293,3307,3313,3295,3290,3323,3324,3347,3362,-894,-581,-325,-125,62,236,435,573,750,912,1099,1218,1276,1395,1483,1558,1662,1729,1837,1895,1977,2015,2088,2125,2201,2259,2314,2358,2426,2508,2531,2544,2550,2607,2624,2696,2724,2712,2730,2738,2779,2776,2789,2853,2849,2879,2907,2901,2928,2944,2967,2999,2989,3004,3025,-960,-654,-448,-239,-26,194,389,525,739,876,932,1036,1113,1229,1329,1487,1554,1638,1703,1768,1858,1961,2048,2099,2137,2148,2244,2278,2344,2347,2393,2461,2464,2528,2572,2578,2628,2612,2667,2665,2703,2746,2795,2827,2841,2862,2877,2921,2920,2944,2930,2976,2996,3000,3029,3029,3051,3069,3081,3089,3109,3111,3131,3152,3157,3171,-996,-539,-283,-32,222,416,639,723,929,1077,1213,1298,1407,1472,1567,1631,1679,1827,1855,1918,2024,2103,2136,2191,2222,2274,2317,2369,2365,2409,2450,2486,2501,2565,2613,2650,2680,2719,2739,2778,2769,2811,2823,2839,2860,2893,2899,2903,2947,2957,2978,3000,2989,-736,-548,-350,-116,69,275,413,539,775,850,970,1116,1233,1336,1410,1534,1646,1720,1797,1874,1959,1996,2052,2071,2138,2152,2216,2261,2298,2357,2417,2475,2513,2567,2560,2599,2624,2629,2668,2701,2723,2766,2784,2819,2813,2832,2867,2894,2898,2956,2954,2966,3014,3008,3062,3060,3105,3092,3126,3150,3163,3156,3191,3197,-663,-510,-168,-4,168,302,469,655,739,821,915,980,1164,1229,1331,1436,1523,1583,1624,1720,1778,1825,1933,2008,2060,2115,2223,2257,2292,2337,2359,2400,2438,2462,2481,2520,2547,2580,2601,2642,2685,2686,2732,2745,2756,2764,2808,2809,2858,2913,2925,2916,2958,2958,,,,,,
-1170,-772,-551,-319,-99,96,292,516,645,816,936,1078,1149,1260,1386,1486,1561,1637,1702,1800,1858,1877,1979,2034,2052,2112,2183,2210,2231,2301,2372,2405,2459,2532,2540,2526,2564,2606,2630,2674,2696,2715,2735,2754,2793,2827,2857,2868,2900,2922,2946,2970,2999,2992,2991,3014,3017,3039,3050,3067,3078,3101,3097,3120,3141,3157,3151,3176,3184,3189,3198,3210,3241,3223,3239,3251,3290,3283,3308,3307,3325,3320,-698,-358,-104,63,278,397,651,802,894,1010,1129,1221,1330,1454,1556,1647,1702,1791,1864,1974,2014,2045,2074,2133,2196,2192,2208,2266,2317,2351,2403,2496,2516,2553,2592,2613,2646,2688,2728,2764,2814,2848,2868,2889,2917,2967,2967,3010,3023,3027,3028,3051,3082,3083,3143,3156,3157,3170,-883,-586,-296,-74,104,310,487,608,754,838,1007,1109,1261,1324,1413,1444,1538,1616,1726,1801,1843,1916,1963,2004,2058,2097,2114,2218,2276,2316,2344,2374,2468,2484,2501,2545,2560,2597,2622,2661,2686,2706,2736,2745,2790,2823,2864,2904,2930,2921,2940,2972,3010,3007,3015,3053,3056,3055,3103,3097,3124,3130,3163,3187,3198,3205,3232,3244,3227,3234,3286,3276,3292,3316,3325,3323,3340,-706,-493,-238,-11,145,408,575,737,895,1087,1196,1261,1429,1524,1547,1601,1710,1791,1878,1918,1994,2083,2153,2203,2302,2311,2353,2414,2442,2444,2484,2528,2557,2573,2602,2632,2653,2688,2718,2733,2786,2820,2872,2921,2940,2951,2963,2975,2999,-553,-293,-30,245,494,649,802,899,1015,1140,1223,1300,1423,1538,1610,1698,1774,1813,1888,1944,2022,2066,2114,2182,2231,2270,2329,2378,2447,2504,2525,2625,2651,2710,2708,2753,2751,-789,-536,-274,-13,266,421,614,757,901,986,1083,1138,1270,1370,1538,1597,1678,1759,1823,1924,1990,2064,2095,2176,2200,2250,2272,2273,2335,2367,2411,2443,2501,2518,2545,2561,2634,2646,2686,2701,2771,2810,2839,2851,2869,2892,2947,2932,2956,2958,2973,2998,-952,-696,-355,-70,97,325,475,684,827,984,1064,1208,1316,1433,1542,1585,1687,1770,1844,1927,1937,1987,2069,2081,2131,2178,2168,2247,2284,2317,2360,2368,2394,2434,2459,2489,2496,2519,2544,2606,2638,2651,2665,2704,2738,2787,2810,2832,2834,2874,2885,2901,2929,2944,2966,2968,3013,3008,3032,3049,3046,-475,-253,6,249,430,545,765,892,990,1052,1117,1175,1264,1334,1433,1461,1620,1718,1796,1845,1892,1978,2028,2070,2170,2187,2224,2286,2342,2372,2388,2465,2497,2518,2562,2578,2614,2674,2681,2727,2760,2803,2824,2863,2873,2888,2897,2919,2925,2936,2954,2963,2988,2990,3032,3043,3062,3061,3088,3101,3130,3129,3192,3216,3231,-815,-554,-367,-169,-37,261,472,611,721,868,1018,1187,1297,1371,1475,1533,1606,1667,1760,1866,1901,1945,2007,2031,2126,2178,2206,2254,2287,2332,2356,2377,2437,2471,2500,2571,2580,2654,2684,2721,2730,2760,2763,2821,2861,2871,2892,2918,2928,2960,2981,3001,2992,-920,-696,-375,-103,127,247,462,597,762,926,1078,1184,1288,1351,1497,1598,1656,1715,1759,1851,1889,1980,2018,2084,2120,2171,2209,2270,2309,2370,2422,2454,2479,2526,2532,2554,2581,2592,2590,2651,2687,2751,2796,2823,2863,2896,2918,2952,2962,2996,3026,3044,3054,3086,3066,3091,3116,3121,3142,3167,3173,3186,3265,3292,3300,3326,3336,3324,-671,-370,-128,67,270,492,614,774,873,1037,1191,1320,1401,1503,1580,1706,1785,1823,1903,1994,2007,2048,2109,2183,2265,2305,2381,2443,2515,2535,2546,2594,2651,2684,2700,2730,2760,2786,2792,2810,2845,2885,2921,2908,2959,2952,2991,3027,3021,3052,3065,3068,3077,3104,3124,3136,3157,3192,-667,-432,-205,34,222,423,575,741,882,1078,1193,1317,1405,1536,1607,1718,1778,1822,1870,1944,1993,2034,2050,2064,2107,2152,2199,2248,2298,2304,2361,2452,2505,2514,2550,2586,2602,2615,2669,2672,2690,2694,2760,2766,2807,2835,2840,2862,2926,2947,2982,3011,3010,3011,3045,3077,3099,3109,-708,-472,-218,34,266,514,679,866,1004,1156,1242,1383,1467,1572,1617,1711,1800,1819,1909,1959,2050,2079,2145,2229,2326,2383,2388,2490,2500,2547,2607,2641,2686,2708,2760,2769,2831,2840,2852,2850,2903,2925,2945,2962,2973,2999,3004,3052,3049,3081,3110,3109,-915,-661,-371,-112,108,342,480,629,797,910,1049,1199,1320,1393,1429,1504,1619,,,,,,,,,,
